order_id,customer_id,order_date,order_year,delivery_speed,payment_method,discount_pct,total_amount
207,227,2024-08-21,2024,Standard,Card,0,12.48
208,98,2025-11-14,2025,Standard,Card,0,6.09
209,55,2025-10-25,2025,Express,Card,0,51.99
210,111,2025-01-08,2025,Standard,Card,20,91.35
211,152,2025-11-02,2025,Standard,Card,,105.98
212,246,2025-08-30,2025,Standard,Card,10,75.71
213,69,2025-04-16,2025,Standard,PayPal,0,57.27
214,289,2024-08-20,2024,Standard,Card,5,40.16
215,250,2025-11-22,2025,Standard,Card,0,38.94
216,36,2024-04-22,2024,Standard,Card,0,19.34
217,239,2025-05-11,2025,Standard,Card,10,7.41
218,148,2025-03-17,2025,Express,Card,10,43.17
219,227,2025-07-17,2025,Express,,10,93.46
220,244,2024-09-24,2024,Standard,Card,0,11.17
221,201,2025-05-24,2025,Standard,Card,5,8.32
222,154,2025-01-20,2025,Standard,Card,0,32.76
223,73,2025-01-21,2025,Standard,Card,0,33.49
224,201,2024-04-22,2024,Standard,PayPal,0,99.99
225,296,2025-09-04,2025,Standard,Card,0,63.85
226,17,2025-09-16,2025,Standard,Card,0,34.02
227,129,2024-03-21,2024,Express,Card,20,49.28
228,217,2025-11-29,2025,Standard,Card,0,51.47
229,61,2024-04-22,2024,Standard,PayPal,5,54.21
230,104,2024-01-02,2024,,Card,0,64.03
231,42,2025-10-03,2025,Standard,Card,0,5.9
232,25,2024-08-07,2024,Standard,Card,0,120.85
233,39,2025-07-19,2025,Standard,Card,,54.63
234,291,2026-01-05,2026,Standard,Card,15,18.9
235,131,2024-08-12,2024,Express,Card,15,68.89
236,229,2025-01-19,2025,Standard,Card,20,30.6
237,108,2025-02-06,2025,Standard,Card,0,53.29
238,172,2025-09-29,2025,Express,Card,0,99.27
239,102,2024-05-09,2024,Express,PayPal,5,43.58
240,12,2024-02-22,2024,Express,PayPal,,20.79
241,275,2025-11-14,2025,Standard,PayPal,0,69.26
242,101,2025-12-30,2025,Standard,Card,0,19.88
243,44,2025-11-02,2025,Next-day,Card,0,40.77
244,17,2025-12-10,2025,Express,PayPal,0,19.61
245,57,2025-02-19,2025,Standard,Card,0,124.28
246,12,2024-09-03,2024,Standard,Card,0,84.02
247,80,2025-03-14,2025,Standard,PayPal,0,24.87
248,216,2024-07-21,2024,Express,PayPal,0,68.57
249,264,2024-07-02,2024,Standard,Card,0,57.42
250,149,2024-05-02,2024,Standard,Card,5,59.01
251,81,2025-02-04,2025,Standard,Card,0,5.9
252,215,2026-02-05,2026,Standard,PayPal,0,89.48
253,198,2024-10-20,2024,Express,PayPal,10,91.82
254,200,2024-10-06,2024,Standard,Card,0,102.46
255,25,2025-09-01,2025,Express,Card,0,27.63
256,89,2024-07-16,2024,Next-day,PayPal,5,14.34
257,268,2025-05-25,2025,Standard,Card,0,108.34
258,143,2026-01-21,2026,Standard,Card,10,21.94
259,59,2024-05-23,2024,Standard,BankTransfer,5,68.64
260,26,2025-08-31,2025,Express,Card,5,41.12
261,47,2024-07-19,2024,Standard,Card,0,30.55
262,288,2024-05-03,2024,Standard,,0,122.26
263,266,2024-07-05,2024,Express,Card,0,117.1
264,16,2024-11-21,2024,Standard,PayPal,0,46.62
265,199,2025-04-08,2025,Express,Card,0,18.96
266,282,2024-12-14,2024,Standard,BankTransfer,0,63.55
267,86,2026-02-09,2026,Standard,Card,0,56.07
268,250,2025-10-21,2025,Standard,Card,0,12.6
269,270,2026-02-02,2026,Express,Card,0,66.89
270,117,2025-02-06,2025,Standard,Card,0,51.78
271,7,2024-12-11,2024,Express,Card,5,61.09
272,137,2025-05-25,2025,Express,Card,0,35.62
273,176,2024-05-26,2024,Standard,Card,0,32.18
274,215,2024-05-27,2024,Next-day,Card,15,35.88
275,82,2025-12-11,2025,Standard,Card,0,6.22
276,223,2025-05-03,2025,Standard,Card,0,51.02
277,103,2025-10-01,2025,Standard,Card,0,34.97
278,273,2025-07-04,2025,Express,Card,5,27.18
279,14,2024-12-03,2024,Standard,Card,0,75.2
280,159,2025-10-02,2025,Standard,Card,0,49.95
281,152,2026-02-17,2026,Standard,Card,0,73.59
282,108,2025-04-17,2025,Standard,Card,15,25.09
283,188,2024-05-30,2024,Standard,PayPal,,147.71
284,98,2025-02-18,2025,Express,PayPal,0,32.34
285,131,2024-10-24,2024,Express,Card,10,9.13
286,293,2025-09-02,2025,Standard,Card,0,0.0
287,171,2024-09-19,2024,Next-day,PayPal,15,15.45
288,183,2026-02-02,2026,Standard,Card,0,27.72
289,39,2024-05-23,2024,Next-day,PayPal,10,24.38
290,15,2024-12-11,2024,,PayPal,0,44.75
291,4,2025-09-15,2025,Standard,PayPal,5,76.72
292,210,2025-07-25,2025,Standard,Card,,73.04
293,161,2024-01-02,2024,Express,Card,0,44.51
294,16,2024-10-30,2024,Standard,Card,0,18.56
295,108,2024-09-10,2024,Standard,Card,0,75.55
296,227,2025-10-13,2025,Standard,Card,0,24.51
297,170,2025-03-28,2025,Standard,Card,0,51.81
298,34,2024-02-06,2024,Standard,Card,0,52.95
299,251,2024-06-08,2024,Standard,PayPal,0,21.57
300,247,2024-01-09,2024,Express,Card,0,89.11
301,269,2024-08-20,2024,Standard,PayPal,0,45.81
302,141,2024-04-08,2024,Standard,PayPal,5,18.9
303,274,2025-10-20,2025,Standard,Card,,19.54
304,96,2024-07-26,2024,Express,Card,0,104.36
305,227,2024-05-10,2024,Express,PayPal,0,30.27
306,39,2025-02-07,2025,Standard,Card,0,90.93
307,29,2024-05-31,2024,Standard,Card,0,70.55
308,245,2024-02-23,2024,Standard,Card,0,14.48
309,236,2024-04-29,2024,Standard,Card,0,83.6
310,185,2025-11-03,2025,Express,Card,10,19.59
311,272,2025-09-19,2025,Standard,Card,0,13.16
312,236,2025-08-09,2025,Standard,Card,5,55.99
313,239,2025-09-16,2025,Standard,Card,5,67.35
314,266,2025-02-23,2025,Express,,10,9.34
315,65,2025-02-25,2025,Standard,Card,15,141.52
316,177,2024-04-13,2024,Standard,Card,0,72.91
317,3,2024-09-10,2024,Standard,PayPal,0,117.86
318,142,2024-08-14,2024,Express,,15,86.85
319,158,2024-04-21,2024,Standard,Card,0,18.34
320,146,2025-05-24,2025,Standard,Card,0,27.51
321,293,2025-04-17,2025,Standard,Card,5,61.15
322,153,2024-04-08,2024,Standard,Card,5,14.34
323,193,2024-06-01,2024,Standard,PayPal,15,35.5
324,73,2024-12-03,2024,Standard,Card,20,28.55
325,140,2025-12-06,2025,Standard,PayPal,5,49.66
326,187,2024-06-11,2024,Standard,Card,0,62.09
327,293,2025-12-20,2025,Standard,Card,15,46.65
328,61,2025-11-11,2025,Express,Card,0,13.29
329,198,2024-06-09,2024,Standard,PayPal,0,52.97
330,295,2025-08-02,2025,Next-day,Card,15,39.19
331,11,2025-02-01,2025,Standard,Card,0,60.64
332,62,2024-10-03,2024,Standard,Card,,98.64
333,226,2025-05-18,2025,Standard,Card,0,21.06
334,153,2025-01-26,2025,Standard,Card,10,68.7
335,199,2024-05-14,2024,Standard,Card,0,12.38
336,52,2024-07-13,2024,Standard,Card,5,42.4
337,260,2025-02-04,2025,Standard,Card,0,103.44
338,59,2025-10-01,2025,Express,Card,10,29.8
339,72,2024-02-02,2024,Standard,PayPal,,0.0
340,148,2025-11-18,2025,Express,PayPal,0,73.65
341,63,2025-04-04,2025,Standard,PayPal,0,49.0
342,243,2025-04-14,2025,Standard,Card,0,26.58
343,107,2025-01-09,2025,Standard,Card,20,35.04
344,226,2024-01-22,2024,Standard,Card,5,75.03
345,218,2026-01-19,2026,,Card,15,57.7
346,241,2025-10-31,2025,Standard,Card,0,62.61
347,259,2024-02-07,2024,Standard,Card,10,17.04
348,262,2024-08-17,2024,Standard,Card,10,12.2
349,5,2024-12-30,2024,Standard,Card,,25.8
350,261,2025-07-16,2025,Express,PayPal,20,160.11
351,54,2025-03-13,2025,Express,Card,0,55.8
352,47,2026-02-14,2026,Express,Card,0,68.8
353,215,2024-10-09,2024,Express,Card,5,43.68
354,177,2024-01-27,2024,Standard,Card,5,74.31
355,9,2024-08-13,2024,Standard,Card,0,114.59
356,99,2024-10-03,2024,Express,PayPal,0,58.39
357,20,2025-08-31,2025,Standard,PayPal,0,86.85
358,241,2024-10-10,2024,Standard,Card,0,11.8
359,61,2025-04-25,2025,Standard,PayPal,0,10.09
360,178,2025-03-28,2025,Standard,BankTransfer,5,35.21
361,62,2025-10-20,2025,Standard,PayPal,5,50.23
362,145,2025-05-30,2025,Express,PayPal,0,6.76
363,216,2025-06-30,2025,Standard,Card,0,16.82
364,3,2024-07-10,2024,Standard,Card,0,23.14
365,160,2024-02-18,2024,Next-day,Card,0,74.82
366,227,2025-05-26,2025,Standard,Card,10,89.17
367,269,2024-01-17,2024,Standard,BankTransfer,15,66.57
368,120,2024-06-20,2024,Standard,Card,0,60.94
369,89,2024-08-07,2024,Standard,Card,10,92.56
370,68,2024-06-06,2024,Express,PayPal,,36.38
371,98,2025-04-21,2025,Standard,PayPal,10,67.76
372,267,2024-02-15,2024,Express,,0,84.21
373,105,2025-01-07,2025,Standard,Card,20,95.24
374,123,2025-06-01,2025,Express,Card,0,33.01
375,29,2024-04-08,2024,Express,Card,0,41.77
376,137,2026-01-14,2026,Express,Card,0,64.73
377,195,2024-02-06,2024,,Card,0,26.83
378,226,2024-10-06,2024,Next-day,Card,0,21.69
379,170,2024-12-14,2024,Standard,PayPal,,7.34
380,9,2025-05-11,2025,Standard,Card,,74.96
381,40,2024-10-28,2024,Express,Card,10,73.05
382,25,2024-06-29,2024,Standard,Card,15,64.34
383,261,2025-08-29,2025,Express,Card,0,22.18
384,226,2024-04-08,2024,Standard,Card,10,15.3
385,124,2025-11-30,2025,Standard,PayPal,10,77.11
386,38,2024-04-25,2024,Standard,Card,10,79.36
387,251,2024-07-09,2024,Standard,PayPal,0,32.5
388,176,2024-09-09,2024,Standard,Card,5,79.45
389,90,2024-06-09,2024,Standard,PayPal,15,99.13
390,37,2024-09-12,2024,Standard,Card,5,93.18
391,176,2024-11-18,2024,Standard,Card,0,43.31
392,284,2024-05-07,2024,Standard,Card,,34.75
393,81,2024-01-18,2024,Standard,PayPal,5,24.72
394,114,2026-01-04,2026,Standard,Card,0,35.95
395,40,2025-07-19,2025,Standard,Card,0,57.48
396,224,2025-07-23,2025,Standard,BankTransfer,0,115.44
397,115,2024-11-18,2024,Express,PayPal,10,97.59
398,186,2025-11-16,2025,Express,Card,10,57.62
399,56,2025-09-17,2025,Standard,Card,0,23.09
400,40,2024-10-14,2024,Standard,Card,20,80.14
401,40,2025-10-24,2025,Express,Card,0,20.48
402,237,2025-09-30,2025,Standard,Card,5,96.89
403,289,2024-06-03,2024,Standard,PayPal,10,12.86
404,262,2025-05-04,2025,Standard,PayPal,10,34.76
405,216,2025-01-20,2025,Express,Card,15,9.62
406,147,2026-02-23,2026,Standard,Card,0,50.59
407,168,2024-04-13,2024,Standard,Card,,55.98
408,92,2025-01-27,2025,Next-day,BankTransfer,,10.17
409,59,2024-09-02,2024,Express,BankTransfer,5,22.56
410,59,2024-06-24,2024,Standard,Card,5,32.32
411,169,2024-02-08,2024,Standard,PayPal,5,35.9
412,269,2025-04-21,2025,Express,,0,3.99
413,45,2025-11-12,2025,Standard,Card,15,68.99
414,181,2026-01-28,2026,Standard,Card,0,64.74
415,170,2025-06-21,2025,Standard,Card,0,30.62
416,191,2025-02-11,2025,Express,Card,5,17.37
417,155,2025-06-08,2025,,Card,0,100.27
418,188,2025-05-20,2025,Express,Card,10,42.57
419,7,2024-02-05,2024,Express,PayPal,0,27.81
420,133,2025-11-15,2025,Standard,Card,0,56.25
421,235,2024-01-20,2024,Standard,Card,10,43.14
422,45,2024-11-16,2024,Standard,Card,,48.8
423,249,2026-02-14,2026,Standard,Card,,52.04
424,31,2025-05-26,2025,Standard,Card,5,75.97
425,23,2025-02-03,2025,Express,Card,0,59.59
426,160,2025-10-15,2025,Standard,Card,5,35.6
427,158,2025-04-15,2025,Express,Card,,73.4
428,39,2024-05-22,2024,Standard,Card,10,90.95
429,82,2024-04-01,2024,Standard,Card,10,24.87
430,258,2024-12-19,2024,,Card,5,71.39
431,206,2025-12-27,2025,Standard,Card,0,59.52
432,77,2024-02-20,2024,Standard,Card,10,81.63
433,12,2025-10-26,2025,Standard,PayPal,5,76.31
434,295,2025-11-28,2025,Standard,Card,5,45.57
435,224,2025-07-28,2025,Standard,Card,0,69.01
436,13,2024-07-08,2024,Standard,PayPal,15,70.08
437,46,2024-05-04,2024,Standard,Card,5,26.5
438,155,2024-05-29,2024,Standard,Card,0,85.65
439,113,2024-11-09,2024,Next-day,PayPal,0,14.3
440,233,2025-07-23,2025,Standard,PayPal,15,11.22
441,17,2024-12-07,2024,Standard,BankTransfer,0,37.41
442,223,2024-10-31,2024,Standard,Card,20,66.32
443,188,2025-11-22,2025,Standard,Card,5,96.88
444,163,2025-11-12,2025,Standard,Card,5,13.48
445,74,2026-02-21,2026,Standard,Card,0,32.32
446,233,2024-02-23,2024,Standard,Card,0,28.45
447,224,2025-03-19,2025,Standard,Card,15,57.62
448,60,2025-09-04,2025,Standard,PayPal,0,66.94
449,222,2024-09-20,2024,Standard,Card,10,51.75
450,37,2024-02-22,2024,Standard,,0,18.3
451,278,2025-07-25,2025,Next-day,Card,0,15.93
452,196,2025-09-11,2025,,Card,0,46.64
453,242,2024-01-05,2024,Standard,Card,0,119.54
454,219,2024-04-12,2024,Standard,Card,20,41.2
455,192,2024-07-14,2024,Standard,Card,0,0.0
456,17,2026-02-12,2026,Standard,Card,0,30.78
457,12,2024-12-15,2024,Standard,PayPal,0,44.6
458,193,2024-02-16,2024,Standard,PayPal,0,14.56
459,22,2025-10-17,2025,Standard,Card,0,103.06
460,120,2024-09-25,2024,Standard,Card,15,45.39
461,210,2025-01-04,2025,Standard,PayPal,0,49.5
462,270,2025-09-27,2025,Standard,PayPal,0,71.86
463,192,2024-04-15,2024,Standard,Card,0,56.08
464,175,2025-10-31,2025,Standard,Card,20,24.7
465,285,2025-10-20,2025,Express,,0,37.77
466,204,2025-10-18,2025,Standard,PayPal,0,52.02
467,164,2024-04-29,2024,Standard,BankTransfer,5,93.01
468,251,2026-02-25,2026,Standard,Card,0,81.96
469,227,2025-08-26,2025,Express,PayPal,,94.84
470,7,2024-02-27,2024,Standard,Card,0,23.54
471,29,2024-12-11,2024,Standard,,10,55.27
472,33,2026-01-10,2026,Standard,Card,0,21.82
473,134,2025-04-18,2025,Standard,PayPal,10,48.8
474,79,2024-04-26,2024,Standard,Card,5,115.18
475,58,2026-03-01,2026,Standard,Card,0,17.1
476,26,2024-05-06,2024,Express,Card,0,53.32
477,226,2025-01-27,2025,Standard,BankTransfer,0,50.9
478,285,2025-10-02,2025,Standard,PayPal,10,52.8
479,4,2024-02-27,2024,Next-day,PayPal,0,25.96
480,99,2025-09-25,2025,Standard,PayPal,,20.26
481,39,2025-05-27,2025,Standard,Card,0,112.22
482,271,2026-01-20,2026,Standard,Card,20,36.34
483,285,2024-04-05,2024,Standard,Card,0,21.6
484,157,2025-09-29,2025,Standard,Card,15,39.24
485,75,2024-04-27,2024,Express,Card,0,13.9
486,288,2025-07-13,2025,Standard,Card,0,17.2
487,130,2025-08-23,2025,Standard,Card,0,74.22
488,175,2025-05-02,2025,Standard,Card,0,24.21
489,84,2024-08-24,2024,Express,Card,0,98.97
490,22,2024-09-28,2024,Next-day,Card,0,13.42
491,27,2024-07-07,2024,Express,BankTransfer,15,33.51
492,195,2025-12-04,2025,Standard,PayPal,10,68.47
493,236,2025-03-22,2025,Standard,BankTransfer,5,53.35
494,92,2025-08-03,2025,Standard,Card,0,6.32
495,21,2026-02-28,2026,Standard,Card,,8.52
496,84,2024-09-03,2024,Standard,PayPal,0,96.73
497,262,2024-03-16,2024,Standard,Card,5,116.14
498,147,2024-06-02,2024,Standard,Card,15,68.24
499,257,2025-10-17,2025,Standard,Card,0,5.0
500,58,2025-03-10,2025,Standard,Card,0,36.66
501,15,2024-03-26,2024,Standard,Card,0,29.67
502,162,2025-11-27,2025,Standard,Card,0,99.11
503,163,2024-10-11,2024,Standard,Card,0,12.44
504,281,2024-08-07,2024,Standard,Card,5,102.65
505,280,2024-03-09,2024,Express,Card,5,73.79
506,12,2024-02-16,2024,Standard,PayPal,0,19.02
507,274,2024-04-03,2024,Standard,Card,,42.76
508,271,2026-01-19,2026,Standard,Card,20,49.3
509,208,2025-03-28,2025,Express,PayPal,0,55.74
510,27,2024-07-22,2024,Standard,Card,0,84.38
511,72,2024-08-05,2024,Standard,Card,0,57.72
512,60,2025-04-18,2025,Standard,Card,,21.51
